country,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,best_gdp
East Asia & Pacific (excluding high income),EAP,80767959484.01248,71153218972.91481,64897470661.69909,70193946313.28906,81084335638.36848,94481207864.73425,103367734663.50183,100363074005.61787,101465070643.53781,114096748857.19081,127055929284.59561,136447378124.72672,155365110105.72995,195434172451.06613,221490887901.3742,248567761846.43268,252736809869.6083,291299809404.42816,282730091759.8839,327361708083.1317,377675119002.89325,403202261318.04,423460780802.99615,443396661438.4028,480418794432.828,526023137328.08234,524630078253.09534,518550542708.1882,575590947068.5774,622223091638.7767,666707196460.8566,723516406265.3142,811406235976.499,890618178363.8732,1071871019106.1741,1322031214501.2236,1518329383758.9783,1570608551401.3108,1433203272257.9175,1577918119910.2034,1736143014172.3374,1847119549328.771,2044360327928.2737,2313862647600.9077,2682937085437.4097,3107694833176.919,3742774301714.1553,4731773141261.086,5987096399585.56,6491258516157.218,7900541542589.843,9650693739294.803,10759908112897.982,11870059931822.135,12800187429285.771,13323235973753.027,13614572556661.455,14881098135429.484,16640354816152.096,17213215781553.242,17487334631867.334,20840018387172.934,21113809331055.496,21150247849983.086,21150247849983.086
Ecuador,ECU,2069464936.5976176,1753850954.839794,1518207703.8901634,1824343870.4139283,2244146103.1834245,2387047395.7025414,2429308638.8380036,2553595172.08743,2582179864.15493,3112165727.3834167,2862503139.003583,2754219271.0308237,3185986087.335834,3891754150.237964,6599257044.124136,7731674472.072123,9091921030.173452,11026342618.114077,11922497876.482836,14175160902.072092,17881508242.44813,21810759353.73044,19929846396.423885,17152477036.500483,16912509091.855,17149088413.349995,15314138472.328245,13945426859.465685,13051881851.406824,13890823704.554482,15239272611.580948,16988535267.633818,18094238119.05953,18938717358.67934,22708673336.66833,24432884442.221107,25226393196.598297,28162053026.513256,27981896948.474236,19645272636.318157,17539454727.36368,23127055000.0,27054197000.0,30965208000.0,35194947000.0,40278849000.0,45690762000.0,49848725000.0,61139438000.0,60094978000.0,68151329000.0,78986648000.0,87735048000.0,96570334000.0,102717794000.0,97209558000.0,97671433000.0,104467486000.0,107478962000.0,107595829000.0,95865472000.0,107435101000.0,116586079000.0,118844826000.0,118844826000.0
"Egypt, Arab Rep.",EGY,,,,,,4948667540.41066,5278005611.914526,5605484298.982751,5932242990.654205,6524455205.811138,8042200452.147701,8609283346.085182,9299638055.842813,10098534613.441132,9228963224.600042,11632178868.917141,13315988083.416088,14400806875.986668,14811704063.068527,18020571428.57143,21669908176.38889,22136081081.08108,27655172413.793102,30966239813.736904,33971188991.614704,39053502251.07319,41253507951.35641,40455616653.574234,34980124929.01761,39756299049.97935,42978914311.35038,37387836490.52842,41855986519.42346,46578631452.58103,51897983392.64532,60159245060.45414,67629716981.13208,78436578171.09145,84828807556.08029,90710704806.84164,99838543960.07632,96684636118.59839,85146067415.73033,80288461538.46153,78782467532.46753,89600665557.40433,107426086956.52174,130437828371.27846,162818181818.18182,189147005444.64612,218983666061.706,235989672977.6248,279116666666.6667,288434108527.1318,305595408895.26544,329366576819.407,332441717791.411,248362771739.13043,262588632526.73044,318678815489.74945,383817841547.0992,424671765455.7043,476747720364.74164,395926075163.0058,476747720364.74164
El Salvador,SLV,,,,,,877720000.0,929520000.0,976200000.0,1009760100.0,1049400000.0000001,1132920000.0,1186120000.0,1263720000.0,1442320000.0,1665880000.0,1884120100.0,2328280100.0,2941640100.0,3127960000.0,3463639900.0,3573959900.0,3437200200.0,3399189100.0,3506347800.0,3661683400.0,3800368600.0,3771663200.0,3958045800.0,4189880000.0,4372215300.0,4817542204.0,5252342400.0,5813399300.0,6680269200.0,7679384000.0,8921947100.0,9586327800.0,10221705900.0,10936669900.0,11284197000.0,11784927700.0,12282533600.0,12664190300.0,13243892200.0,13724810900.0,14698000000.0,15999890000.0,17011750000.0,17986890000.0,17601620000.0,18447920000.0,20283780000.0,21386150000.0,21990960000.0,22593470000.0,23438240000.0,24191430000.0,24979190000.0,26020850000.0,26881140000.0,24921190000.0,29043140000.0,31988920000.0,34015620000.000004,34015620000.000004
Equatorial Guinea,GNQ,,,9122751.453183454,10840095.12836493,12712471.396021094,64748333.333333336,69110000.00000001,72317446.93271928,67514285.71428572,67225714.28571428,66331428.571428575,64946954.756798,65429198.23870797,81203226.91383454,94159862.70736909,104295643.38843696,103653049.9379699,103987520.07582739,,,50642880.77375034,36731422.84569138,44294647.73347897,44442456.947639965,50320914.4065688,62118569.96544805,76407395.87275417,93345859.52973002,100534656.8817321,88265974.86104898,112119411.48996468,110906028.53686225,134707183.84662017,136047906.24540824,100807002.54019465,141853360.86785537,232463022.80296078,442337870.6943698,370687634.42571217,621117885.6685027,1045998496.4387157,1461139022.0295386,1806742742.2731116,2484745935.093289,4410764338.667325,8217369092.652238,10086528698.86043,13071718758.737305,19749893536.320362,15027795173.218706,16314443436.290295,21357343668.944725,22388344143.913067,21948834283.785564,21765453081.9826,13185496881.017399,11240808847.887815,12200913878.982721,13097012133.615946,11364133549.747766,9893816007.7398,12215878032.716585,13486788878.97569,12116922539.411173,22388344143.913067
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477101651.6483756,467872714.7556032,531688311.6883117,578015625.0,693535954.1900672,686490090.1401408,745523116.9000521,688918537.1155552,706370815.5844156,752371688.7431858,729321680.1543237,870248267.550163,1109054005.43971,1098424685.6616938,1211161879.6747968,1317974491.0569105,1380188800.0,1856695551.2195122,1589515447.1544716,2065001626.0162601,,,,,,,,,,,,,2065001626.0162601
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4013091682.2914,4123011419.741738,4502970889.063729,4786018988.16491,5154420649.233543,5674080542.885749,5756912265.758092,5686579747.535244,6254649538.984872,7367975887.727229,9874013098.464317,12145911801.242235,14106790200.223852,17022870405.218918,22449129482.617023,24341678628.973194,19633031397.610447,19523477325.623463,23213994093.463085,23019150071.186726,25115753366.111443,26634083965.09873,22890762090.15077,24072829276.77438,26924385103.06593,30624720196.228996,31290453293.545048,31330419851.148724,36864792511.63506,37921480881.542946,40744848827.95366,40744848827.95366
Eswatini,SWZ,35076845.96926162,43026042.789582886,45927961.62881535,54129438.34822466,64980554.0077784,70279971.88801125,76859969.2560123,74759970.09601197,79799968.08001277,105419957.83201687,112139955.14401795,136462080.73913231,146736479.23509708,221915127.5507631,264320940.9590023,288299788.50803506,272550068.13751704,304060076.01501894,340630085.15752125,412093133.76098835,541976852.5770575,570774824.830585,537568059.4133813,555336145.7678844,494483408.8784683,360079419.385958,449140318.3850379,584126092.258819,692026454.7378719,696921542.3782647,1114694040.6698666,1156135717.9459786,1284759927.5459378,1357189551.6843128,1419294254.4183025,1698989463.9910562,1602741833.7055213,1716714070.1247103,1576908856.3467433,1547888495.9842763,1738093840.3660724,1542477308.8940773,1432221739.1234226,2197598466.254465,2770082791.504118,3178112498.6791058,3291330019.172866,3469381231.4904904,3294084314.1505804,3580428052.8139267,4438765085.9378395,4820478680.183751,4886551483.93374,4597552981.567378,4422986271.747672,4063245671.2928457,3816019193.1656113,4402969225.921647,4666598024.184108,4495267265.76464,3982236693.831596,4850842540.992672,4790922788.708641,4597855845.042758,4886551483.93374
Ethiopia,ETH,1610511693.7854273,1680859514.1196513,1747566307.1363308,1825058827.9655821,1984129185.4655318,2159998591.191316,2324466416.1145964,2461762002.757752,2619948864.8650637,2768987371.887748,3045354454.77066,3224280834.8707476,3520252938.3216524,4070570549.892972,4577209966.332702,4577047854.287097,4943806093.463962,5651840584.6490345,6014961434.802609,6586048398.128117,7012585454.122029,7507663566.429711,7899988840.677295,8781664426.870241,8298309580.509033,9717392686.732803,10094328897.858795,10790001557.867151,11181119717.64575,11762932007.237007,12478943894.931547,13799799323.6715,10754799036.574486,9051043870.121965,7100806753.929418,7855205206.934051,8761215548.486143,8803539988.332483,8013274131.697146,7892973531.800449,8242349617.863803,8231326016.47494,7850809498.168027,8623691300.040789,10131187261.442078,12401139453.973831,15280861834.602404,19707616772.799637,27066912635.222847,32437389116.038006,29933790334.34179,31952763089.330025,43310721414.08288,47648276605.012314,55612228233.51786,64589328550.5953,74296745207.87209,81770886825.60477,84269196625.8784,95912607722.3032,107657734392.44585,111261882958.4261,126772703047.70143,163697927593.98236,163697927593.98236
Euro area,EMU,251547935974.24075,280001211512.6055,309682844045.60406,340867415041.0412,377688784742.4579,412852327100.6801,446696785788.4755,474740436968.7293,510444782330.28107,570281638775.0869,645797489611.4719,731954124032.6422,884219495454.5337,1147887891986.7122,1301780020040.8477,1509429668218.7249,1575250806532.18,1791799412675.2231,2194147266452.8374,2657918872119.103,2976836154321.7363,2587111663021.848,2504826677675.291,2443641157282.629,2343942476961.566,2408039726596.137,3379544973186.511,4180009789415.674,4597153410901.026,4695807002305.462,5909782092743.88,6130268732320.047,6751656853901.455,6180929627354.025,6528765017707.341,7538490214319.51,7628743159352.412,6976433292194.283,7175152570560.736,7139949534351.677,6517629739562.016,6619382603491.188,7226691597174.83,8897545940283.213,10202235327777.074,10568560016101.418,11233646616679.617,12938432027569.564,14226784155767.785,13000703039470.14,12700582110966.242,13700831614329.535,12695678622498.623,13255654454944.72,13570070381398.836,11727106023830.516,12025904489799.793,12736901061169.953,13761117139592.867,13481146122147.143,13155164142399.125,14754625131073.305,14224347000135.576,15544858680873.797,15544858680873.797
Europe & Central Asia,ECS,426443191069.5014,469280003585.545,513219975664.4196,561276303595.3011,620340951902.0304,676460952680.4772,731651662103.5645,777412833292.3712,818984557494.7081,908300581591.6249,1020817804365.8518,1152009134804.2324,1381535065716.9521,1757663865739.861,1986456065661.5354,2320724910516.46,2412984174057.9146,2729066352656.907,3345784139074.541,4079020913342.2246,4611623534358.833,4108150871076.715,3960025757324.4453,3840328209015.849,3691045688253.733,3819244965644.8564,5207726640026.545,6431399546947.681,7159610197781.093,7254765277401.909,8868968946763.85,9137898920510.602,9788830737692.738,9000999813897.168,9411954540738.09,10868921758424.832,11093788613775.719,10521843390122.395,10794474235063.81,10676207695862.748,10065925069173.893,10168292808350.963,11134331409101.707,13534598831552.178,15775505005718.842,16780903793743.838,18167737736908.113,21227702064340.84,23363341474912.223,20545109873740.81,21016513112950.816,23305973325589.785,22453705241187.86,23454990403618.117,23784373303750.188,20481460301210.54,20408605606979.316,21652842504644.61,23188735732226.203,22908223277507.38,22156549343244.92,25331394418403.785,25389267749915.992,27240628835585.28,27240628835585.28
Europe & Central Asia (IDA & IBRD countries),TEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985742836447.4761,957406797905.5967,1016696527904.2733,998575587092.4482,925302955135.0814,922190800146.8063,834356408944.4598,923817586373.6392,950432338921.8973,980301520759.2386,947639106110.632,821600621769.225,894544257579.7662,909540184630.0415,1022700571400.7285,1258197590827.0078,1628013567626.735,2039292026212.7085,2466363795862.121,3172404499923.275,3926836234821.6113,3113738044750.0796,3657869416963.5205,4450219264234.293,4646863189589.231,4915748484819.645,4644397266377.622,3627947465522.1343,3486198200219.9785,3909728235465.926,4077637180273.379,4159709661061.9336,3900798423599.7695,4623633114358.754,5220065561112.424,5466276097557.084,5466276097557.084
Europe & Central Asia (excluding high income),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,231719774992.0475,255834060621.47043,289097626779.4978,346940936294.6886,333725379317.1366,323228048625.08167,342532323683.7235,273360968932.8171,306497135631.63214,324891746056.1261,344755415289.8801,419693866241.01794,382648784206.4728,390254644017.59686,334433492950.2106,389028550190.813,495996118252.84045,639128690749.53,796047189589.7754,925984007321.0376,1165481350733.462,1395064178011.7087,1163141205236.0854,1377629393492.266,1566799086233.3994,1652506728905.0164,1802285899175.5002,1729714204725.0544,1507646946545.9277,1447395306947.5278,1485108260761.974,1459981302399.6614,1488770219744.9639,1428327223229.5327,1659440839146.6958,1803038234535.201,2098349713814.253,2098349713814.253
European Union,EUU,285073053085.9551,316870410350.5016,350221814291.119,384821620915.05676,426857747595.7693,467082505496.4781,505703862438.4022,538499760817.85925,577998463968.4854,645042628143.752,729230210211.2767,824288432698.7732,994401350599.7462,1286732424384.3198,1456741990415.9333,1696431872317.995,1777203100260.2798,2012781495101.9692,2451545641660.1973,2962558958496.7188,3314876480855.1655,2893850859545.1084,2792072843193.838,2714737320293.103,2615737658425.7446,2690005731428.4644,3755825284547.2476,4642293245437.36,5096307310101.018,5205659077752.17,6509870874516.407,6733632573117.18,7392186357757.624,6751222891775.616,7155503335744.4,8296091250458.225,8431591142243.404,7733843716226.577,7969880727935.9795,7925844560641.681,7276390686987.554,7393611976746.923,8083519738170.341,9932134719712.139,11418900282600.475,11910069053861.59,12712635655986.71,14727520908988.871,16295391110313.398,14762842568792.768,14556122142376.72,15765158666571.166,14641634844097.45,15294853937310.537,15651372745918.605,13553897260141.035,13888833465037.94,14765880176508.232,15981445869808.93,15694050310523.12,15381418584246.09,17315127119106.46,16761496590765.22,18349388450765.61,18349388450765.61
Faroe Islands,FRO,,,,,,57954522.42172592,64397131.08464574,66225403.55880685,65186666.666666664,70106666.66666667,84933333.33333333,99219082.85379915,119335897.8152019,161236465.82362178,196771070.8953387,227404436.01367873,270470345.4493571,347798304.6352674,397833034.88451165,448568492.65856147,493014300.00521654,456244919.0109115,444047495.3200994,486605127.7026814,426008864.6921691,459307281.19533515,688914288.8782983,886508622.3343158,968576956.9302646,871935350.3849087,960805408.9498718,909253214.8260803,912670413.3258826,760957189.7576457,758739178.6121707,901404709.8306841,989536914.6590806,933763083.395627,1104744235.3011053,1127684827.356857,1067109530.6479754,1160268212.0729074,1275093689.2710743,1501941580.8890333,1724770770.833928,1759739599.2269354,2017680834.8991673,2339015313.295128,2489873249.6281476,2296065170.0555153,2331796784.3600945,2505740669.270395,2427200388.918314,2690110520.9254756,2914012679.272769,2573905971.054594,2813278868.782085,2980057377.879666,3188600927.4668827,3266432734.22819,3262045883.372933,3655063937.931448,3555929833.050505,,3655063937.931448
Fiji,FJI,112328422.11308399,116987784.91373882,122906434.95781387,129454728.62359904,140032741.46832892,147084750.0314822,150603925.51585305,162625885.8634838,166952937.13500515,182182067.70356816,219878482.17356414,247749327.7212674,316656648.69895685,425950487.5198936,558587097.3828332,684282434.3610952,694540806.3806442,719501765.7830485,829267889.4293734,1019691460.1737615,1202618816.2085173,1235626770.5092397,1194059943.224777,1123085190.065092,1178000677.9992924,1141168943.976615,1290267339.650056,1177947965.1214206,1110009522.7574325,1182660265.766352,1337017559.4972816,1383883249.5910022,1532411039.0547915,1636101246.9394045,1825732092.5467432,1970301486.205614,2128696643.6257393,2090221137.0287633,1653146716.5823526,1936459986.0379515,1678219507.898291,1652462023.4621494,1833279985.367415,2300492465.322761,2708078476.630121,2980403844.7209597,3076305452.8650646,3378314599.764019,3523185919.558261,2870624635.6803193,3140166712.796239,3779411899.374834,3972028104.4732842,4189967998.514236,4857104768.868437,4682479893.975582,4930213644.366533,5353469174.478379,5581425327.443973,5444407198.134784,4432466219.876845,4305031649.741891,4979979531.272499,5494797540.733647,5581425327.443973
Finland,FIN,5279011362.127209,5983900493.16006,6407225035.044293,6958296429.351692,7848288358.27266,8679620316.855669,9305312888.267727,9467428626.115274,8915770472.976006,10176617905.440477,11357516987.542469,12527405512.92981,14743186119.873817,19472363466.62517,24848821490.467937,29472623242.282204,31849513771.349438,33499799321.233585,36256160288.80866,44465255686.154785,53645202422.696846,52448332874.06999,52797582336.252625,50973526900.085396,52888800949.74278,55875863392.17191,73531550551.25499,91594751792.2359,109058990760.48329,119012054870.44478,141438345513.91696,127773856785.76678,112532519246.08443,89214114708.0254,103299943084.80365,134189814814.8148,132129174216.92986,126912152101.70656,134038718291.05473,135264083658.68756,126019543413.3336,129533107311.81119,140404460203.1375,171652458349.4114,197479443979.1511,204885494686.38123,217089269791.7644,256378067752.15768,285716311136.7187,253497520828.51544,249424310816.66714,275604356167.31573,258290060227.73444,271362405890.589,274862826772.15588,234534382384.7655,240771351298.83328,255647979916.47104,275708001767.84296,268514916972.54858,271886077382.10193,296470417085.26654,281887430795.72095,300187202696.08374,300187202696.08374
Fragile and conflict affected situations,FCS,30738244854.870117,32690862791.45981,35607386321.41197,38028727377.08354,38274770246.30661,40813674761.99807,43238591720.6296,44174621789.539566,48568838756.48911,53610325877.971664,65401455198.12852,66561388561.5775,77479654097.06978,95510532409.23598,146900682075.83844,161513557226.356,195304501831.50534,213278349713.39807,231356882179.07983,297569999135.35,382755054625.33093,512808130778.4705,487187691901.7528,421776651429.2117,382295044281.80835,389797449491.56757,357218736728.34863,359768873805.4594,389154194377.4249,382426616750.5502,550431826024.048,386525300417.9943,345171861552.7484,351215280928.5724,353240292006.1537,431762560996.37195,466440871846.8599,522326775784.8459,536100031620.82404,400171162201.28033,468035986782.2404,458017480633.7693,446928936249.04126,470617921462.8467,596965322028.1152,755160909781.5892,945955284127.6101,1159333496786.8708,1481946186150.486,1342728724357.1533,1593981100293.4824,1664321553843.8586,1861813804786.7688,1935544489353.464,2053788945066.257,1617323277101.4702,1490633651211.6812,1549712150984.0945,1735183810120.2507,1842154935322.1775,1690930063237.8928,1796274437015.5234,1950006457159.6636,1906801170087.862,2053788945066.257
France,FRA,62225478000.88224,67461644222.03518,75607529809.92879,84759195105.86928,94007851047.36778,101537248148.42683,110045852177.92784,118972977486.2066,129785441507.45569,141903068680.3094,148456359985.82733,165966615366.40228,203494148244.47333,264429876252.2098,285553737043.09875,360832186018.05115,372319038514.0672,410279486493.7149,506709302325.5814,613953129818.0697,701288419745.4207,615552202776.1013,584877732308.6136,559869179791.7205,530683779929.4453,553138414367.0609,771470783218.1078,934173305685.9108,1018847043277.1721,1025211803413.5308,1269179616913.625,1269276828275.782,1401465923172.2427,1322815612694.0005,1393982750472.5898,1601094756209.7515,1605675086549.5576,1452884917959.0918,1503108739159.4397,1493151737698.459,1365639660792.1597,1377657339291.3403,1501409382971.3752,1844544792036.859,2119633181634.3684,2196945232435.7966,2320536221304.7026,2660591246211.7734,2930303780828.1245,2700887366932.0293,2645187882116.672,2865157541994.169,2683671716967.188,2811876903329.0273,2855964488590.186,2439188643162.4985,2472964344587.1655,2595151045197.6514,2790956878746.6646,2728870246705.878,2647418691598.4507,2959355819170.495,2779092236505.847,3030904089607.8965,3030904089607.8965
French Polynesia,PYF,,,,,,176534588.40305242,215659453.55093855,220984367.6265805,259590074.52793404,242943783.14273614,254036000.75258702,296865513.7468174,326433558.07607865,431252938.06104565,555340842.8603107,690323388.5299066,732288906.2739544,793196378.708826,1005569835.3966367,1215032463.6733649,1320416024.955902,1234743073.0049667,1235897957.8926506,1284180701.0096884,1325515445.0819688,1448281228.1585286,2212028299.560276,2677977163.2116284,2723496362.0464535,2731683484.4562263,3320159522.365726,3410078967.898227,3713785765.4220495,3544608548.4173365,3676123788.032299,4186994249.0886116,4166072829.600989,3762859093.2619243,3903186592.824305,3911602004.142045,3599845480.3435864,3573808556.312676,3965405552.520302,4927780606.770702,5564109981.913795,5705052134.542532,5877997979.622657,6631156405.596368,7136741421.959083,6584557973.937495,6086644798.559816,6203940036.919825,5692858099.002168,6031827122.606632,6151996560.842894,5325846361.811863,5497036476.8031,5833352692.799503,6135116253.334518,6022276196.13871,5792545870.806137,6150640646.383186,5814661208.905444,,7136741421.959083
Gabon,GAB,141468977.79984602,167637907.12278184,182796536.26602525,154480244.05522227,215679855.34209135,226474285.7790626,245849781.273234,271543680.04889476,294468564.24527156,318124701.47877115,323802475.5124251,381687072.6223791,430508358.51420367,722780701.2958542,1544216001.660591,2157592940.04234,3009409974.2685614,2809349069.2211766,2389479271.666156,3030251120.097586,4279637942.2514405,3862269120.5349717,3618007841.1350255,3391275731.5375123,3561451560.507833,3339914757.2287188,3403638189.200494,3281797043.049957,3834503376.029924,4186411463.8597536,5952293764.84777,5402919784.570041,5592390827.398541,4378645081.017691,4190819344.2225494,4958845648.047782,5694040002.898627,5326817114.535865,4483417309.830112,4662992036.207296,5080483628.530126,5023265413.2623,5335451099.882229,6511903365.475535,7770219008.212934,9582783990.853455,10327598306.457499,12455409587.337097,15571348344.337933,12113699068.251694,14372593020.288502,18210307743.581623,17170464016.059284,17595744798.339832,18203966895.84335,14383107762.695183,14023890265.366455,14929487485.162275,16867326389.870382,16874405460.195467,15314577167.821096,20217946921.20645,21071739227.942158,20516134388.66078,21071739227.942158
"Gambia, The",GMB,,,,,,,44212081.35022968,46695006.95793745,41160065.856105365,45168072.26891563,52296083.673733875,55728663.22268395,59160569.480441295,75187749.09613165,95796021.68882716,115179719.07763307,112190829.4704568,138093099.0977397,171833086.01962367,207112627.72609425,241083090.303623,218767743.4591015,216050552.30158418,213448584.93694514,177340880.08620396,225726358.8909143,185646986.82492676,220626484.2248106,266672211.93416098,284120329.4010232,317083695.47779715,690311080.5150175,714254256.1221893,755040974.0873225,746493951.9009587,785999864.8402995,848239446.2157602,803633342.4737065,840285264.6315453,814724032.065735,782913871.8096597,687410645.0639434,578235309.3271981,487038685.04549587,961900651.4234409,1027701067.5568765,1054112487.7408298,1279703047.0220978,1561766955.7302403,1450142508.5780816,1543294926.8730059,1409693596.9359355,1415004738.2662053,1375609453.4374623,1229461721.4086075,1378176608.9320412,1484578885.9713225,1504909462.6952114,1670671327.8165143,1813609692.4999352,1812170891.1906917,2014158842.6539373,2175099789.9782925,2339904156.792144,2339904156.792144
Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,11502.632644795465,13825.757575757576,14047.410008779632,7500000000.0,6400000000.0,3729999999.9999995,2701301482.701812,2514070771.8027306,2693768412.891793,3095047603.808305,3510520231.2138724,3613497316.5531864,2800025882.7167172,3057475335.1884646,3219462262.007499,3395766677.673153,3991377904.1316156,5125365191.986644,6410912049.871047,7745250733.950674,10172931088.565523,12795145130.910282,10766920065.825115,12426907967.157818,15475290469.286894,16894392033.225578,17517660143.685932,17966015109.304302,15223796148.83962,15444548901.963682,16473125375.068438,17902544880.64707,17638337116.9126,16010869215.679968,18853115588.81058,24984568959.604965,30535530479.022663,30535530479.022663
Germany,DEU,84310950194.11525,96205728657.72688,105508875286.24109,111822811005.91238,122880200227.83871,134282707622.24054,142781158769.17966,144570993320.9099,155955906530.69864,177084689264.14545,215838448137.65833,249985055484.3027,299801542047.4759,398374021953.8968,445303484241.55396,490636517211.22504,519754453161.4106,600498238019.0348,740469983446.9329,881345176608.6863,950290856466.5376,800472055387.2782,776576439106.9558,770684323247.7977,725111123634.1145,732534887058.1982,1046259374943.7089,1298176105549.5103,1401233225303.4858,1398967436804.3274,1771671206875.681,1868945197407.189,2131571696931.747,2071323790370.2827,2205074123177.052,2585792275146.718,2497244606186.639,2211989623279.946,2238990774702.6787,2194945278872.5918,1947981991011.7688,1945790973803.1519,2078484517474.5134,2501640388482.3477,2814353869359.0806,2846864211175.096,2994703642023.5254,3425578382921.5796,3745264093617.1865,3411261212652.3413,3399667820000.0063,3749314991050.591,3527143188785.157,3733804649549.0303,3889093051023.5156,3357585719351.5605,3469853463945.5337,3690849152517.6533,3974443355019.605,3889177589254.8955,3887727161914.4077,4278503934689.8535,4082469490797.681,4456081016705.961,4456081016705.961
Ghana,GHA,1223943661.9718308,1309859154.9295774,1390140845.0704224,1549295774.6478872,1740845070.4225352,2064788732.394366,2138028169.0140843,1748837209.3023255,1666666666.6666667,1961764705.882353,2214705882.352941,2427184466.019418,2116541353.3834586,3018103448.275862,2894409937.8881984,2810106382.9787235,2765254237.2881355,3189428571.428571,3662478184.991274,4020227920.22792,4445228215.767634,4222441860.4651165,4035994397.759104,4057275132.275132,4412279843.444227,4504306722.689075,5735677433.826828,5074829931.972789,5197765031.64557,5251858439.874004,5889106573.460878,6603185267.796426,6416103925.832665,5968922939.3719845,5446383726.770467,6464382807.678836,6932991739.377671,6891443192.249848,7482069162.420078,7718109982.260925,4982850662.208511,5314872854.440497,6166197847.850311,7632723555.66221,8881417906.714323,10744568381.44561,20885037596.696342,24827339138.49064,28679383241.07291,26048720005.52326,32197655566.534706,39336668080.55898,41271701060.95403,62824629066.04083,54783319817.370514,49406010054.266335,56164929304.8754,60405924078.72783,67298914624.372314,68337969247.70674,70043095503.6675,79524421861.27426,74263364041.87419,76370394412.41626,79524421861.27426
Greece,GRC,4335191696.005855,4961399303.483932,5213043168.0939,5895281431.591881,6669669849.61844,7689148374.19223,8591522486.934435,9275600800.356443,10090674766.703152,11615655895.40543,13139863636.363638,14591750000.0,16885511363.636364,22347848101.265823,25351306818.18182,28525876726.88629,31152835820.895523,36176234967.622574,44270204081.63265,54481876724.931,56829664268.58514,52346506765.06765,54617989795.918365,49428873839.009285,48020024183.79686,47820851221.31754,56379593476.14411,65652750377.45345,76261277924.57362,79169043222.82837,97891092003.43938,105143232379.88408,116224672863.78262,108809059155.76695,116601801966.29214,136878365936.1671,145861612400.906,143157600149.75665,144428172489.33472,142588875293.74857,130457756628.43636,136309295225.33954,154564203586.954,202370140236.26508,240963562236.12726,247875422204.41388,273546728473.07257,318902829550.73315,355908689477.44525,331308500253.2744,297124961971.50055,282995942006.557,242029307133.40787,238907690051.1301,235458133124.6078,195683527003.3745,193148146586.93277,199844406013.53094,212049447242.1112,205252760889.36438,188480337285.6052,214667807441.20197,217581324512.0592,238206312632.52774,355908689477.44525
Greenland,GRL,,,,,,,,,,,69520026.66666667,88466738.24972685,106101297.80127242,140153748.2436565,169918948.62918177,211190630.32960913,240779417.7856998,282269749.16011345,355987433.4156901,420645821.5404875,476051740.7737695,435748993.4184214,402403041.0292685,416184071.0194169,379371901.49037445,412876382.82917434,603016292.6869783,787390408.9532692,898607670.6244127,929799902.191124,1018977280.3292787,1016500069.2570795,1037916162.5497649,927214151.7679299,1005887539.3204867,1208953287.0659847,1197515569.0820243,1072154433.8453763,1149858069.7576582,1131555107.0490694,1068025016.0086223,1086170703.9815965,1169136716.0355651,1558759823.081686,1822499769.2393847,1849802648.3639076,2013106929.500311,2249811295.6608014,2499092314.4187546,2529963903.2268476,2503167187.4930544,2684461375.465847,2609678486.367488,2684946990.1244802,2842065708.3596215,2499113022.8167543,2707139544.4669547,2851613679.0343266,3055782146.15957,2997309971.8762293,3082884653.245599,3235809504.298714,,,3235809504.298714
Grenada,GRD,,,,,,,,,,,,,,,,,,71494495.18518518,88322386.29629628,102244362.22222221,110900457.03703703,115651918.88888888,125435589.99999999,131803552.22222221,145533310.74074072,167728455.18518516,187589522.59259257,215009569.6296296,236357523.7037037,267327642.2222222,278098762.9629629,300757888.8888889,310160444.4444444,309812185.1851852,325111814.8148148,342172518.5185185,366911444.4444444,392190592.5925926,445903592.59259254,482009370.3703703,520044370.3703703,520444185.18518513,540336925.9259259,591018407.4074074,599118592.5925926,695555555.5555555,698700666.6666666,758683592.5925926,825976037.037037,771275555.5555555,771014814.8148147,778655555.5555555,799881481.4814814,842618518.5185184,911496296.2962962,997007407.4074073,1061640740.7407407,1125685185.1851852,1166514814.8148148,1213485185.1851852,1043411111.111111,1122800000.0,1224577777.7777777,1320334235.588974,1320334235.588974
Guam,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3394000000.0,3569000000.0,3869000000.0,4213000000.0,4238000000.0,4397000000.0,4658000000.0,4828000000.0,4949000000.0,4984000000.0,5265000000.0,5399000000.0,5610000000.0,5799000000.0,5901000000.0,6013000000.0,6051000000.0,6355000000.0,5916000000.0,6234000000.0,6910000000.0,,6910000000.0
